Split,Subset,NumSamples,MSE,RMSE,MAE,R2,Precision@5,Recall@5,NDCG@5,Precision@10,Recall@10,NDCG@10,Precision@20,Recall@20,NDCG@20
Train,Overall,5592224,1.507785439491272,1.2279191502258087,0.9815418720245361,0.3106408813725384,0.7704657266613076,0.8895014256513224,0.9311381757052904,0.7516968719580761,0.955789501329039,0.9399360452662741,0.7436978609971557,0.9829564069204463,0.9441511329272096
Train,Cold_User,2534197,1.945144772529602,1.3946844705988528,1.149765968322754,0.280982153132723,0.7561752035818257,1.0,0.9516725917164486,0.7561752035818257,1.0,0.9516725917164486,0.7561752035818257,1.0,0.9516725917164486
Train,Cold_Business,118787,2.507312297821045,1.5834494932965324,1.3708075284957886,0.11744006776930693,0.7695021514051364,0.9655122567386968,0.9163969520201273,0.7666331710174993,0.990455676884427,0.922812616557627,0.7659239993339618,0.9975990648981625,0.924967259117025
Train,Cold_User_Only,2474397,1.915460228919983,1.3840015277881679,1.1382955312728882,0.2877455376732544,0.7571249129520797,1.0,0.95238175599431,0.7571249129520797,1.0,0.95238175599431,0.7571249129520797,1.0,0.95238175599431
Train,Cold_Business_Only,58987,1.8320056200027466,1.3535160213321253,1.1137326955795288,0.2032972235725624,0.7632814601344862,0.9605786210744574,0.9126371013009662,0.7600020584602717,0.9890903160790756,0.9199705571573175,0.7591914363952621,0.9972555997152946,0.922433431580256
Train,Any_Cold,2593184,1.9425714015960693,1.3937616014211573,1.1489462852478027,0.279535024348049,0.7563034308035993,0.9992886699402634,0.9509682247337122,0.7562442563898065,0.999803142702597,0.9511005516013804,0.7562296293052742,0.9999504792964714,0.9511449923758571
Train,Both_Cold,59800,3.17343807220459,1.7814146266954782,1.624387264251709,0.05110340819341164,0.8129868385710448,1.0,0.9426795507217569,0.8129868385710448,1.0,0.9426795507217569,0.8129868385710448,1.0,0.9426795507217569
Train,Warm,2999040,1.131838321685791,1.0638789036755034,0.8367921113967896,0.34655135671655213,0.8070515787889053,0.6046473327240925,0.8789500688386542,0.7393553345842496,0.8419396945393727,0.9102346218082108,0.7105482162887521,0.9391086363028674,0.9251951094275721
Val,Overall,699028,1.6437774896621704,1.2820988611110185,1.0263011455535889,0.24628544947020736,0.7694625497742087,0.9487409568576031,0.9349524683166617,0.7605937100442474,0.9848744882736334,0.9411697507402285,0.7575569672930473,0.9964565885371892,0.9436099894988695
Val,Cold_User,341300,2.0322465896606445,1.4255688652817318,1.1740646362304688,0.23641213834273167,0.7858644994800292,0.9999557061972807,0.9560491132867438,0.7858644994800293,1.0,0.9560637756441336,0.7858644994800293,1.0,0.9560637756441336
Val,Cold_Business,23115,2.5984442234039307,1.6119690516272112,1.3945485353469849,0.08875816441888584,0.7473641915782706,0.9847457676341602,0.9069257783723257,0.7456322419678254,0.9969911491228042,0.9101490867883889,0.7451496587692628,0.9999492463076688,0.9110837750421849
Val,Cold_User_Only,328837,1.9884740114212036,1.4101326219264638,1.1570440530776978,0.24504350899509664,0.7864282811865094,0.9999532710280373,0.9566896211867404,0.7864323445753758,1.0,0.9567050896461029,0.7864323445753758,1.0,0.9567050896461029
